attack,base_happiness,capture_rate,defense,height_m,hp,name,pokedex_number,speed,type1,weight_kg,is_legendary
49,70,45,49,0.7,45,Bulbasaur,1,45,grass,6.9,False
62,70,45,63,1.0,60,Ivysaur,2,60,grass,13.0,False
100,70,45,123,2.0,80,Venusaur,3,80,grass,100.0,False
52,70,45,43,0.6,39,Charmander,4,65,fire,8.5,False
64,70,45,58,1.1,58,Charmeleon,5,80,fire,19.0,False
104,70,45,78,1.7,78,Charizard,6,100,fire,90.5,False
48,70,45,65,0.5,44,Squirtle,7,43,water,9.0,False
63,70,45,80,1.0,59,Wartortle,8,58,water,22.5,False
103,70,45,120,1.6,79,Blastoise,9,78,water,85.5,False
30,70,255,35,0.3,45,Caterpie,10,45,bug,2.9,False
20,70,120,55,0.7,50,Metapod,11,30,bug,9.9,False
45,70,45,50,1.1,60,Butterfree,12,70,bug,32.0,False
35,70,255,30,0.3,40,Weedle,13,50,bug,3.2,False
25,70,120,50,0.6,45,Kakuna,14,35,bug,10.0,False
150,70,45,40,1.0,65,Beedrill,15,145,bug,29.5,False
45,70,255,40,0.3,40,Pidgey,16,56,normal,1.8,False
60,70,120,55,1.1,63,Pidgeotto,17,71,normal,30.0,False
80,70,45,80,1.5,83,Pidgeot,18,121,normal,39.5,False
60,70,255,30,0.3,40,Spearow,21,70,normal,2.0,False
90,70,90,65,1.2,65,Fearow,22,100,normal,38.0,False
60,70,255,44,2.0,35,Ekans,23,55,poison,6.9,False
95,70,90,69,3.5,60,Arbok,24,80,poison,65.0,False
55,70,190,40,0.4,35,Pikachu,25,90,electric,6.0,False
47,70,235,52,0.4,55,Nidoran♀,29,41,poison,7.0,False
62,70,120,67,0.8,70,Nidorina,30,56,poison,20.0,False
92,70,45,87,1.3,90,Nidoqueen,31,76,poison,60.0,False
57,70,235,40,0.5,46,Nidoran♂,32,50,poison,9.0,False
72,70,120,57,0.9,61,Nidorino,33,65,poison,19.5,False
102,70,45,77,1.4,81,Nidoking,34,85,poison,62.0,False
45,140,150,48,0.6,70,Clefairy,35,35,fairy,7.5,False
70,140,25,73,1.3,95,Clefable,36,60,fairy,40.0,False
45,70,170,20,0.5,115,Jigglypuff,39,20,normal,5.5,False
70,70,50,45,1.0,140,Wigglytuff,40,45,normal,12.0,False
45,70,255,35,0.8,40,Zubat,41,55,poison,7.5,False
80,70,90,70,1.6,75,Golbat,42,90,poison,55.0,False
50,70,255,55,0.5,45,Oddish,43,30,grass,5.4,False
65,70,120,70,0.8,60,Gloom,44,40,grass,8.6,False
80,70,45,85,1.2,75,Vileplume,45,50,grass,18.6,False
70,70,190,55,0.3,35,Paras,46,25,bug,5.4,False
95,70,75,80,1.0,60,Parasect,47,30,bug,29.5,False
55,70,190,50,1.0,60,Venonat,48,45,bug,30.0,False
65,70,75,60,1.5,70,Venomoth,49,90,bug,12.5,False
52,70,190,48,0.8,50,Psyduck,54,55,water,19.6,False
82,70,75,78,1.7,80,Golduck,55,85,water,76.6,False
80,70,190,35,0.5,40,Mankey,56,70,fighting,28.0,False
105,70,75,60,1.0,65,Primeape,57,95,fighting,32.0,False
70,70,190,45,0.7,55,Growlithe,58,60,fire,19.0,False
110,70,75,80,1.9,90,Arcanine,59,95,fire,155.0,False
50,70,255,40,0.6,40,Poliwag,60,90,water,12.4,False
65,70,120,65,1.0,65,Poliwhirl,61,90,water,20.0,False
95,70,45,95,1.3,90,Poliwrath,62,70,water,54.0,False
20,70,200,15,0.9,25,Abra,63,90,psychic,19.5,False
35,70,100,30,1.3,40,Kadabra,64,105,psychic,56.5,False
50,70,50,65,1.5,55,Alakazam,65,150,psychic,48.0,False
80,70,180,50,0.8,70,Machop,66,35,fighting,19.5,False
100,70,90,70,1.5,80,Machoke,67,45,fighting,70.5,False
130,70,45,80,1.6,90,Machamp,68,55,fighting,130.0,False
75,70,255,35,0.7,50,Bellsprout,69,40,grass,4.0,False
90,70,120,50,1.0,65,Weepinbell,70,55,grass,6.4,False
105,70,45,65,1.7,80,Victreebel,71,70,grass,15.5,False
40,70,190,35,0.9,40,Tentacool,72,70,water,45.5,False
70,70,60,65,1.6,80,Tentacruel,73,100,water,55.0,False
85,70,190,55,1.0,50,Ponyta,77,90,fire,30.0,False
100,70,60,70,1.7,65,Rapidash,78,105,fire,95.0,False
65,70,190,65,1.2,90,Slowpoke,79,15,water,36.0,False
75,70,75,180,1.6,95,Slowbro,80,30,water,78.5,False
35,70,190,70,0.3,25,Magnemite,81,45,electric,6.0,False
60,70,60,95,1.0,50,Magneton,82,70,electric,60.0,False
90,70,45,55,0.8,52,Farfetch'd,83,60,normal,15.0,False
85,70,190,45,1.4,35,Doduo,84,75,normal,39.2,False
110,70,45,70,1.8,60,Dodrio,85,110,normal,85.2,False
45,70,190,55,1.1,65,Seel,86,45,water,90.0,False
70,70,75,80,1.7,90,Dewgong,87,70,water,120.0,False
65,70,190,100,0.3,30,Shellder,90,40,water,4.0,False
95,70,60,180,1.5,50,Cloyster,91,70,water,132.5,False
35,70,190,30,1.3,30,Gastly,92,80,ghost,0.1,False
50,70,90,45,1.6,45,Haunter,93,95,ghost,0.1,False
65,70,45,80,1.5,60,Gengar,94,130,ghost,40.5,False
45,70,45,160,8.8,35,Onix,95,70,rock,210.0,False
48,70,190,45,1.0,60,Drowzee,96,42,psychic,32.4,False
73,70,75,70,1.6,85,Hypno,97,67,psychic,75.6,False
105,70,225,90,0.4,30,Krabby,98,50,water,6.5,False
130,70,60,115,1.3,55,Kingler,99,75,water,60.0,False
30,70,190,50,0.5,40,Voltorb,100,100,electric,10.4,False
50,70,60,70,1.2,60,Electrode,101,150,electric,66.6,False
40,70,90,80,0.4,60,Exeggcute,102,40,grass,2.5,False
50,70,190,95,0.4,50,Cubone,104,35,ground,6.5,False
120,70,45,53,1.5,50,Hitmonlee,106,87,fighting,49.8,False
105,70,45,79,1.4,50,Hitmonchan,107,76,fighting,50.2,False
55,70,45,75,1.2,90,Lickitung,108,30,normal,65.5,False
65,70,190,95,0.6,40,Koffing,109,35,poison,1.0,False
90,70,60,120,1.2,65,Weezing,110,60,poison,9.5,False
85,70,120,95,1.0,80,Rhyhorn,111,25,ground,115.0,False
130,70,60,120,1.9,105,Rhydon,112,40,ground,120.0,False
5,140,30,5,1.1,250,Chansey,113,50,normal,34.6,False
55,70,45,115,1.0,65,Tangela,114,60,grass,35.0,False
125,70,45,100,2.2,105,Kangaskhan,115,100,normal,80.0,False
40,70,225,70,0.4,30,Horsea,116,60,water,8.0,False
65,70,75,95,1.2,55,Seadra,117,85,water,25.0,False
67,70,225,60,0.6,45,Goldeen,118,63,water,15.0,False
92,70,60,65,1.3,80,Seaking,119,68,water,39.0,False
45,70,225,55,0.8,30,Staryu,120,85,water,34.5,False
75,70,60,85,1.1,60,Starmie,121,115,water,80.0,False
45,70,45,65,1.3,40,Mr. Mime,122,90,psychic,54.5,False
110,70,45,80,1.5,70,Scyther,123,105,bug,56.0,False
50,70,45,35,1.4,65,Jynx,124,95,ice,40.6,False
83,70,45,57,1.1,65,Electabuzz,125,105,electric,30.0,False
95,70,45,57,1.3,65,Magmar,126,93,fire,44.5,False
155,70,45,120,1.5,65,Pinsir,127,105,bug,55.0,False
100,70,45,95,1.4,75,Tauros,128,110,normal,88.4,False
10,70,255,55,0.9,20,Magikarp,129,80,water,10.0,False
